"text","label"
"Go until jurong point crazy Available only in bugis n great world la e buffet","0"
"Ì_ÉauGod Edin Dzalin","0"
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005","1"
"U dun say so early hor... U c already then say...","0"
"Nah I don't think he goes to usf he lives around here though","0"
"FreeMsg Hey there darling it's been 5 weeks now and all I can think about is 7 weeks from now","1"
"Even my brother is not like to speak with cars","0"
"As per your request has been set as your callertune","0"
"complimentary 4 STAR Poker Tournament","1"
"Will u b going to esplanade fr home?","0"
"Free for 1st week You will NOT need to pay anything NOTHING","1"
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight","0"
"ScentBox New Perfume Club Collectors Edition Try the latest Collection","1"
"So u switch the pay type or what","0"
"the goods the Guess","0"
"Title: Friends Reunion Scheduled Date: Saturday 15-04-07","0"
"Oh k...i'm watching here","0"
"Eh u remember how 2 do anagrams?","0"
"Free Top World Class EXCITING HAPPY NEW YEAR RINGTONES","1"
"So will me be going to esplanade?","0"
"Congratulations ur awarded 500 Euros prize GUARANTEED","1"
"Sunshine Quiz Sunshine made the finals of the TV quiz show","0"
"Ok let me know when your class ends","0"
"You came back and other down to rate five to one","0"
"WHY IS LETTER IE NEVER USED ALONE IN ENGLISH LANGUAGE?","0"
"Ty for your interest being Customer since 1 st Quarter 2005","1"
"I've been searching for the maps for 10 by 90 by 200 cubicles","0"
"Didn't your people ever call to confirm that they were coming?","0"
"Hi if tomorrow is thursday as per the dim the bar goes to Saturday","0"
"Free HOLIDAY RINGTONES Click Here Now","1"
"Hey can u txt me jokes Please?","0"
"Hi this is the qmail notification telling you that your email could not be delivered","0"
"Hi how about We collect the local company rate","0"
"All u can eat is the fact","0"
"PLEASE CALL US NOW as you have WON a SPECTACULAR PRIZE","1"
"Right now we have a Cherry taste Fawn type","0"
"If the system worked then one issue might be if a document was sent","0"
"Hello this is a test of the system","0"
"I want kFC chicken","0"
"Giddy 5555 tickets bought","0"
"Is it possible to get the full list of your previous clients?","0"
"Where you been?","0"
"Txt ok:15 wiv details of yr route","0"
"Hi my parents arrived earlier today from the airport","0"
"I'm still in the city centre shopping centre","0"
"WINNER As a valued network customer you have been selected","1"
"In any way u want to c me","0"
"OK tomorrow morning","0"
"For me the love affairs have been conul and inimitable heights of romance","0"
"Want explicit SEX in 30 secs Then click here for hot webcam girls","1"
"I'm going to try for 2 to years old","0"
"Is this ok","0"
"Great Home by 7pm","0"
"I have a date on this Saturday","0"
"Your allotted time for chatting has EXPIRED but you can REACTIVATE","1"
"Hey baby how you doing?","0"
"I'm back in the city Do u want to meet up","0"
"So i'm gonna call my mom she can come pick me up","0"
"Urgent You have won a 1 week FREE membership","1"
"Working on the current ERM forms of the company","0"
"You are very special to me","0"
"Mobile number has been claimed by another user","1"
"Hmm should be online for a while","0"
"Need a job Now is your chance Employers are looking for people","1"
"Is there any way to remove my name from your mailing list?","0"
"URGENT REQUEST PLEASE CALL BACK","0"
"U can call me 2moro?","0"
"Do you have status update on the sample I submitted?","0"
"Great offer repaid RECHARGE your mob now for £ 2000","1"
"Hmm ok so whats the plan for tonight","0"
"How did you feel when you wen to the bergantelle restaurant","0"
"Sent an email via your feedback form","0"
"Can you forget your love and take back your gifts","0"
"Please go back and re-examine all past posts","0"
"Thanks for your reply Do you have a date before next Sunday?","0"
"Hello, I'm taking a holiday on the 15-31 May","0"
"Hello","0"
"Is life really like that","0"
"Waiting for you at the coffee shop","0"
"I feel sick","0"
"I have a problem with my nokia","0"
"Remind me to pick you up at 11","0"
"May I have your name?","0"
"Later i guess I have to buy the orange from the shop","0"
"Meeting to discuss the group project?","0"
"LOVED YOUR MUSIC LOVED YOUR MUSIC LOVED YOUR MUSIC","0"
"Customise your Nokia today Click here now","1"
"Dear Free to Increase visitors SEND NOW FREE","1"
"IMPORTANT - READ Dear Friend Read my earlier email","0"
"Why are you taking so long","0"
"Want more TRAFFIC for your site CLICK HERE","1"
"Ah right are u in lto the are you at least gonna go online tonight","0"
"Have a good night mr shady Wish you all the best","0"
"Get free credit on your account right now","1"
"I can't believe the end of the summer holidays","0"
"Argent funds transfer Your manager needs your URGENT attention","1"
"Can you call me as soon as you get this","0"
"I have a question about the Jonty Crawford report","0"
"CONGRATULATIONS You WON You are a lucky EXTRACT winner","1"
"Did youribus go through Whitley?","0"
"Hmm... ok...","0"
"Only the sea and hills","0"
"Where you at","0"
"Text me later on the landline when you get there","0"
"I want to tell you about me","0"
"Ok let me know how do you like them apples","0"
"Only days away If we don't succeed we try the next day","0"
"Cos i was on my fone when Gerrard and Zidane played their game","0"
"If you are a super Goerge fan come to the book signing","0"
"Urgent Call back immediately We have a warrant out on you","1"
"Yeah Ur Baaa Mmmm Thanx","0"
"If the data is all correct the system to process transactions","0"
"I wanna be your friend","0"
"Tell me what the company provided with the car","0"
"Stop asking stupid questions and cum on","0"
"Message from SUN Card Centre Your new Visa card","0"
"Hmmm Will have a look at it","0"
"Hello how are you doing","0"
"Nork is at 6.30 to moro","0"
"Ahh ok I get it","0"
"Will you be attending the event?","0"
"Aight so we're all set Fri 23 May 2005","0"
"Does anyone know who decides software or license fees","0"
"Congratulations We have decided that you have WON 2 WEEKS","1"
"I've started walking again","0"
"Cos it will be hard to explain to mom and dad","0"
"Stop Stop STOPing Let me know if you want to come","0"
"OK as previously discussed we have set up your meeting","0"
"Someone know if there's a funeral on sunday","0"
"What's gonna happen with the stock option plan","0"
"She just heard from the hospital about the results","0"
"What can I do she's got to decide","0"
"Hi see if you can find the number of Jack Shelly","0"
"It was nice to talk to you","0"
"Means date wkly Chgs Advt","0"
"Someone should tell her she's to stay away","0"
"I've been here for a few days now","0"
"I received an SMS about GAGA LADY","0"
"Hope you get this message","0"
"Can you come get dinner with me and my friends","0"
"What is the crisis we're facing","0"
"What ever happened to your company","0"
"Ah right ok will do","0"
"You ok hun I know it's been a while","0"
"Tell me do you come as well","0"
"We were trying to come on Saturday","0"
"Hi I hope you are well Do you know any good website","0"
"You are a winner U have won the CASH PRIZE","1"
"Hi I'm gonna head off on my trip up north","0"
"Thanks for your message","0"
"Requests one to contact a lawyer to process","1"
"Hi I'm going to get to the packing peanuts late","0"
"I'm busy","0"
"Wen me and the gang are acting out a lil scene here","0"
"Thanks I have a birthday coming on April","0"
"Urgent Call back immediately We have a warrant out on you","1"
"Can you get me the name and number of the person","0"
"Wot do u think we should do","0"
"Urgent To get the latest ringtones and logos click here","1"
"Did the job go ok","0"
"Can we add someone for the weekend","0"
"Are you ready to play tee-up and start a NEW trend","1"
"Hi Raj thanks for the letter","0"
"Cos i got news for you","0"
"Ok now i'm seriously worried","0"
"How are things going","0"
"I wish there's a way to block these bull shit texts","0"
"Money back guaranteed","1"
"Uh ok so what are we doin 2day","0"
"What's the craic","0"
"How do you know she's beautiful","0"
"K so basically i'm at the tron","0"
"Ah This is the life Sat on the beach looking at the sunset","0"
"I never heard from you","0"
"Why are you not picking up Pls call me asap","0"
"You have 1 new message Call 0207 946 0958","1"
"Hmm what happened after that then","0"
"Mobile call waiting the new wait phone","0"
"I'm gonna try to come tonight","0"
"I'm gonna try to get back to you","0"
"You might enjoy visiting the park during lunch time today","0"
"Click HERE click NOW you have WON","1"
